USD
EUR
RUB
GBP
CNY
JPY
SGD
INR
CHF
AUD
CAD
HKD
MYR
NOK
NZD
ZAR
SEK
DKK
BRL
ZAC
MXN
TWD
KRW
CLP
CZK
HUF
IDR
ISK
MXV
PLN
TRY
UYU
XAUUSD
THB
SAR
EUREUR
GBPGBP
ILS
USDINR
EURGBP
EURUSD
EURNZD
EURAUD
EURCHF
EURCAD
EURNOK
EURSEK
EURJPY
EURSGD
EURRUB
EURILS
EURTRY
EURCNY
EURHKD
EURBRL
EURMXN
EURZAR
EURPLN
EURINR
GBPEUR
GBPUSD
GBPNZD
GBPAUD
GBPCHF
GBPCAD
GBPNOK
GBPSEK
GBPJPY
GBPSGD
GBPRUB
GBPILS
GBPTRY
GBPCNY
GBPBRL
GBPMXN
GBPZAR
GBPPLN
GBPINR
CHFEUR
CHFUSD
CHFNZD
CHFAUD
CHFGBP
CHFCAD
CHFNOK
CHFSEK
CHFJPY
CHFSGD
CHFRUB
CHFILS
CHFTRY
CHFCNY
CHFBRL
CHFMXN
CHFZAR
CHFPLN
CHFINR
PLNEUR
ZAREUR
TRYEUR
NOKEUR
AUDEUR
NZDEUR
MXNEUR
CNYEUR
NOKCHF
JPYUSD
AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDUSD
CADJPY
NZDUSD
USDCAD
USDCHF
USDCNY
USDJPY
AEDAUD
AEDCAD
AEDCHF
AEDEUR
AEDGBP
AEDINR
AEDJPY
AEDNOK
AEDNZD
AEDPKR
AEDSAR
AEDSEK
AEDZAR
ARSBRL
ARSEUR
ARSGBP
ARSJPY
ARSUSD
AUDAED
AUDARS
AUDBRL
AUDCNH
AUDCNY
AUDCZK
AUDDKK
AUDFJD
AUDGBP
AUDHKD
AUDHUF
AUDIDR
AUDILS
AUDINR
AUDKRW
AUDMXN
AUDMYR
AUDNOK
AUDPHP
AUDPKR
AUDPLN
AUDSEK
AUDSGD
AUDTHB
AUDTRY
AUDTWD
AUDZAR
BDTGBP
BDTJPY
BGNUSD
BHDEUR
BHDPKR
BHDUSD
BRLARS
BRLAUD
BRLCHF
BRLEUR
BRLHKD
BRLJPY
BRLKRW
BRLMXN
BRLRUB
BRLSEK
BRLSGD
BRLUSD
BRLZAR
BWPEUR
BWPUSD
CADAED
CADARS
CADAUD
CADBRL
CADCHF
CADCNH
CADCNY
CADDKK
CADEUR
CADGBP
CADHKD
CADIDR
CADILS
CADINR
CADISK
CADKRW
CADKWD
CADMXN
CADMYR
CADNOK
CADNZD
CADPKR
CADPLN
CADRUB
CADSEK
CADSGD
CADTHB
CADTRY
CADTWD
CADUSD
CADZAR
CDFUSD
CHFAED
CHFARS
CHFBWP
CHFCNH
CHFCZK
CHFDKK
CHFHKD
CHFHUF
CHFIDR
CHFISK
CHFKRW
CHFMYR
CHFPKR
CHFRON
CHFSZL
CHFTHB
CHFTWD
CHFUZS
CLPEUR
CLPGBP
CLPUSD
CNHHKD
CNHIDR
CNHINR
CNHJPY
CNHKRW
CNHPHP
CNHTHB
CNHTWD
CNYAUD
CNYCAD
CNYCHF
CNYGBP
CNYHKD
CNYJPY
CNYKRW
CNYNZD
CNYPLN
CNYUSD
CNYZAR
CRCGBP
CZKCHF
CZKDKK
CZKEUR
CZKJPY
CZKPLN
CZKSEK
CZKUSD
DJFGBP
DKKAUD
DKKCAD
DKKCHF
DKKCZK
DKKEUR
DKKGBP
DKKHKD
DKKHUF
DKKINR
DKKISK
DKKJPY
DKKNOK
DKKNZD
DKKPKR
DKKPLN
DKKSEK
DKKSGD
DKKTHB
DKKUSD
DKKZAR
DOPGBP
DZDUSD
EGPEUR
EGPJPY
EGPPKR
EGPUSD
ETBGBP
EURAED
EURAFN
EURALL
EURAMD
EURARS
EURBAM
EURBBD
EURBDT
EURBGN
EURBHD
EURBIF
EURBND
EURBOB
EURBSD
EURBWP
EURBZD
EURCLP
EURCNH
EURCOP
EURCRC
EURCUP
EURCVE
EURCZK
EURDJF
EURDKK
EURDOP
EURDZD
EUREGP
EURETB
EURFJD
EURGHS
EURGNF
EURGTQ
EURHNL
EURHRK
EURHTG
EURHUF
EURIDR
EURIQD
EURISK
EURJMD
EURJOD
EURKES
EURKHR
EURKRW
EURKWD
EURKYD
EURKZT
EURLAK
EURLBP
EURLKR
EURLSL
EURLYD
EURMAD
EURMDL
EURMKD
EURMMK
EURMOP
EURMUR
EURMVR
EURMWK
EURMYR
EURNAD
EURNGN
EURNIO
EURNPR
EUROMR
EURPAB
EURPEN
EURPGK
EURPHP
EURPKR
EURPYG
EURQAR
EURRON
EURRSD
EURRWF
EURSAR
EURSCR
EURSOS
EURSVC
EURSZL
EURTHB
EURTND
EURTTD
EURTWD
EURTZS
EURUAH
EURUGX
EURUYU
EURUZS
EURVND
EURXAF
EURXOF
EURXPF
EURYER
FJDUSD
GBPAED
GBPALL
GBPARS
GBPBDT
GBPBGN
GBPBHD
GBPBIF
GBPBMD
GBPBND
GBPBWP
GBPCLP
GBPCNH
GBPCOP
GBPCRC
GBPCZK
GBPDJF
GBPDKK
GBPDOP
GBPDZD
GBPEGP
GBPETB
GBPFJD
GBPGTQ
GBPHKD
GBPHNL
GBPHRK
GBPHTG
GBPHUF
GBPIDR
GBPIQD
GBPISK
GBPJMD
GBPJOD
GBPKES
GBPKRW
GBPKWD
GBPKZT
GBPLBP
GBPLKR
GBPMAD
GBPMUR
GBPMVR
GBPMWK
